Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
drew gooden,2013-14,32.0,WAS,NBA,22,0.0,395.0,18.4,0.119,0.189,10.7,23.0,16.7,6.3,1.3,1.5,9.9,19.7,117.0,104.0,0.9,0.6,1.4,0.173,-0.2,-0.8,-0.9,0.1,California,Black,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas,2013-2014,380,"Drew Gooden, PF",Washington Wizards,52017
archie goodwin,2013-14,19.0,PHO,NBA,52,0.0,533.0,10.3,0.216,0.329,5.3,13.0,9.2,5.7,1.9,1.6,18.7,19.4,93.0,107.0,-0.3,0.5,0.2,0.018,-3.9,-0.4,-4.3,-0.3,Arkansas,Black,2014,2016,G,6-5,200,"August 17, 1994",University of Kentucky,2013-2014,299,"Archie Goodwin, SG",Phoenix Suns,1064400
eric gordon,2013-14,25.0,NOP,NBA,64,64.0,2057.0,14.9,0.316,0.273,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,105.0,113.0,2.0,0.5,2.5,0.058,1.2,-2.5,-1.2,0.4,Indiana,Black,2009,2016,G,6-4,215,"December 25, 1988",Indiana University,2013-2014,26,"Eric Gordon, SG",New Orleans Pelicans,14283844
marcin gortat,2013-14,29.0,WAS,NBA,81,80.0,2655.0,17.6,0.001,0.273,8.7,25.1,16.7,8.4,0.8,3.8,11.8,18.2,112.0,103.0,4.1,4.0,8.1,0.146,-1.1,2.1,1.0,2.0,Poland,White,2008,2016,C-F,6-11,240,"February 17, 1984",,2013-2014,76,"Marcin Gortat, C",Washington Wizards,7727280
danny granger,2013-14,30.0,TOT,NBA,41,2.0,847.0,10.9,0.417,0.218,4.3,12.9,8.8,7.8,0.7,1.5,12.0,20.5,99.0,103.0,0.1,1.2,1.3,0.073,-2.2,-0.6,-2.8,-0.2,Louisiana,Black,2006,2015,F,6-9,222,"April 20, 1983",University of New Mexico,2013-2014,365,"Danny Granger, SF",Los Angeles Clippers,249683
aaron gray,2013-14,29.0,TOT,NBA,37,6.0,355.0,7.8,0.016,0.328,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,90.0,106.0,-0.3,0.4,0.1,0.016,-4.3,1.7,-2.6,-0.1,California,Black and White,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh,2013-2014,199,"Aaron Gray, C",Toronto Raptors,2690875
danny green,2013-14,26.0,SAS,NBA,68,59.0,1651.0,13.9,0.63,0.125,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,107.0,101.0,1.4,2.8,4.2,0.122,1.2,2.1,3.3,2.2,New York,Black and White,2010,2016,G-F,6-6,215,"June 22, 1987",University of North Carolina,2013-2014,152,"Danny Green, SG",San Antonio Spurs,3762500
draymond green,2013-14,23.0,GSW,NBA,82,12.0,1797.0,12.7,0.359,0.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,102.0,98.0,0.7,3.8,4.5,0.119,-1.6,4.4,2.8,2.2,Michigan,Black,2013,2016,F,6-7,230,"March 4, 1990",Michigan State University,2013-2014,320,"Draymond Green, PF",Golden State Warriors,875500
gerald green,2013-14,28.0,PHO,NBA,82,48.0,2330.0,16.5,0.507,0.229,2.3,10.9,6.6,8.6,1.5,1.4,11.6,23.6,112.0,108.0,4.2,1.9,6.1,0.126,2.4,-1.4,1.0,1.8,Texas,Black and White,2006,2016,G-F,6-7,205,"January 26, 1986",,2013-2014,161,"Gerald Green, SF",Phoenix Suns,3500000
jeff green,2013-14,27.0,BOS,NBA,82,82.0,2805.0,13.1,0.338,0.304,2.1,13.6,7.7,8.4,1.0,1.3,11.1,23.6,102.0,109.0,1.3,2.0,3.3,0.057,-0.7,-1.3,-2.1,0.0,Maryland,Black,2008,2016,F,6-9,235,"August 28, 1986",Georgetown University,2013-2014,64,"Jeff Green, SF",Boston Celtics,8700000
willie green,2013-14,32.0,LAC,NBA,55,9.0,869.0,7.1,0.446,0.125,1.6,8.2,5.0,8.3,1.3,1.0,10.6,16.3,96.0,108.0,-0.2,0.7,0.5,0.028,-2.6,-0.8,-3.4,-0.3,Michigan,Black,2004,2015,G,6-4,200,"July 28, 1981",University of Detroit Mercy,2013-2014,266,"Willie Green, SG",Los Angeles Clippers,1399507
blake griffin,2013-14,24.0,LAC,NBA,80,80.0,2863.0,23.9,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29.0,114.0,103.0,8.1,4.1,12.2,0.205,3.0,1.6,4.6,4.8,Oklahoma,Black and White,2011,2016,F,6-10,251,"March 16, 1989",University of Oklahoma,2013-2014,17,"Blake Griffin, PF",Los Angeles Clippers,16441500
jorge gutierrez,2013-14,25.0,BRK,NBA,15,2.0,244.0,8.7,0.222,0.222,1.5,9.3,5.4,19.4,2.2,0.3,19.1,14.1,101.0,109.0,0.1,0.2,0.2,0.048,-2.6,-0.8,-3.4,-0.1,Mexico,Others,2014,2016,G,6-3,191,"December 27, 1988",University of California,2013-2014,379,"Jorge Gutierrez, PG",Brooklyn Nets,54785
jordan hamilton,2013-14,23.0,TOT,NBA,60,12.0,1019.0,12.7,0.527,0.136,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,102.0,106.0,0.4,1.1,1.6,0.073,-0.9,-0.1,-1.0,0.3,California,Black,2012,2015,G-F,6-7,220,"October 6, 1990",University of Texas at Austin,2013-2014,285,"Jordan Hamilton, SG",Houston Rockets,1169880
justin hamilton,2013-14,23.0,TOT,NBA,8,0.0,72.0,11.9,0.45,0.25,7.2,5.0,6.1,0.0,3.6,0.0,15.3,17.4,105.0,106.0,0.1,0.1,0.1,0.089,-1.2,-2.8,-4.0,0.0,California,White,2014,2015,C,7-0,260,"April 1, 1990",Louisiana State University,2013-2014,374,"Justin Hamilton, C",Charlotte Bobcats,98036
tyler hansbrough,2013-14,28.0,TOR,NBA,64,4.0,978.0,14.2,0.01,0.944,14.2,20.0,17.1,2.7,1.5,1.6,14.5,15.1,116.0,104.0,1.7,1.4,3.0,0.149,-1.7,-0.2,-1.8,0.0,Missouri,White,2010,2016,F,6-9,250,"November 3, 1985",University of North Carolina,2013-2014,176,"Tyler Hansbrough, PF",Toronto Raptors,3183000
tim hardaway,2013-14,21.0,NYK,NBA,81,1.0,1875.0,12.7,0.521,0.186,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,112.0,114.0,2.7,0.4,3.1,0.08,1.3,-3.5,-2.3,-0.1,Florida,Black,2014,2016,G,6-6,205,"March 16, 1992",University of Michigan,2013-2014,284,"Tim Hardaway Jr., SG",New York Knicks,1196760
james harden,2013-14,24.0,HOU,NBA,73,73.0,2777.0,23.5,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,120.0,107.0,10.1,2.7,12.8,0.221,6.2,-0.5,5.7,5.4,California,Black,2010,2016,G,6-5,220,"August 26, 1989",Arizona State University,2013-2014,31,"James Harden, SG",Houston Rockets,13701250
maurice harkless,2013-14,20.0,ORL,NBA,80,41.0,1950.0,11.8,0.319,0.296,4.0,11.4,7.7,6.4,2.5,2.0,13.6,14.8,102.0,106.0,0.6,2.1,2.8,0.068,-1.6,1.4,-0.1,0.9,New York,Black,2013,2016,F-G,6-9,215,"May 11, 1993",St. John's University,2013-2014,239,"Maurice Harkless, SF",Orlando Magic,1809840
josh harrellson,2013-14,24.0,DET,NBA,32,0.0,317.0,13.4,0.378,0.085,9.8,16.7,13.1,6.9,1.0,3.8,10.5,12.8,117.0,109.0,0.5,0.2,0.7,0.108,-0.5,0.2,-0.2,0.1,Missouri,White,2012,2014,C,6-10,275,"February 12, 1989",University of Kentucky,2013-2014,313,"Josh Harrellson, C",Detroit Pistons,884293
tobias harris,2013-14,21.0,ORL,NBA,61,36.0,1850.0,16.5,0.176,0.341,5.4,20.6,13.0,7.7,1.1,1.0,8.7,22.2,108.0,107.0,2.4,1.7,4.1,0.107,-0.7,-1.0,-1.7,0.1,New York,Black,2012,2016,F,6-9,235,"July 15, 1992",University of Tennessee,2013-2014,254,"Tobias Harris, SF",Orlando Magic,1545840
udonis haslem,2013-14,33.0,MIA,NBA,46,18.0,653.0,10.5,0.0,0.301,8.4,24.7,16.8,2.9,0.9,2.0,12.7,13.9,104.0,105.0,0.3,0.8,1.1,0.083,-4.1,-0.7,-4.9,-0.5,Florida,Black,2004,2016,F,6-8,235,"June 9, 1980",University of Florida,2013-2014,136,"Udonis Haslem, PF",Miami Heat,4340000
spencer hawes,2013-14,25.0,TOT,NBA,80,78.0,2470.0,15.7,0.349,0.172,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,105.0,107.0,2.2,2.3,4.5,0.088,-0.4,0.9,0.5,1.6,Washington,Black and White,2008,2016,C-F,7-1,245,"April 28, 1988",University of Washington,2013-2014,91,"Spencer Hawes, PF",Philadelphia 76ers,6500000
chuck hayes,2013-14,30.0,TOT,NBA,61,1.0,754.0,10.0,0.008,0.192,10.5,21.8,16.1,6.8,2.3,1.3,19.0,10.4,102.0,103.0,0.2,1.2,1.4,0.086,-3.1,2.5,-0.6,0.3,California,Black,2006,2016,F-C,6-6,240,"June 11, 1983",University of Kentucky,2013-2014,104,"Chuck Hayes, PF",Toronto Raptors,5722500
gordon hayward,2013-14,23.0,UTA,NBA,77,77.0,2800.0,16.2,0.271,0.369,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,104.0,111.0,2.2,1.5,3.6,0.062,1.0,0.0,1.0,2.1,Indiana,White,2011,2016,F-G,6-8,226,"March 23, 1990",Butler University,2013-2014,164,"Gordon Hayward, SF",Utah Jazz,3452183
gerald henderson,2013-14,26.0,CHA,NBA,77,77.0,2461.0,13.1,0.124,0.332,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,101.0,106.0,0.8,2.8,3.6,0.071,-1.7,0.0,-1.7,0.2,New Jersey,Black,2010,2016,G,6-5,215,"December 9, 1987",Duke University,2013-2014,102,"Gerald Henderson, SG",Charlotte Bobcats,6000000
john henson,2013-14,23.0,MIL,NBA,70,23.0,1856.0,17.9,0.002,0.277,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,106.0,108.0,1.7,1.5,3.3,0.084,-1.0,1.4,0.3,1.1,North Carolina,Black,2013,2016,F,6-11,229,"December 28, 1990",University of North Carolina,2013-2014,235,"John Henson, PF",Milwaukee Bucks,1905360
roy hibbert,2013-14,27.0,IND,NBA,81,81.0,2409.0,13.5,0.007,0.357,9.9,15.0,12.5,6.2,0.6,5.7,14.5,19.4,100.0,98.0,0.5,5.0,5.4,0.108,-3.4,3.3,-0.2,1.1,New York,Black,2009,2016,C,7-2,270,"December 11, 1986",Georgetown University,2013-2014,25,"Roy Hibbert, C",Indiana Pacers,14283844
jj hickson,2013-14,25.0,DEN,NBA,69,52.0,1859.0,16.2,0.012,0.443,11.9,24.8,18.3,8.4,1.2,2.0,14.1,20.8,103.0,106.0,1.3,2.1,3.3,0.086,-1.7,0.8,-0.8,0.6,Georgia,Black,2009,2016,F,6-9,242,"September 4, 1988",North Carolina State University,2013-2014,116,"JJ Hickson, C",Denver Nuggets,5150000
nene hilario,2013-14,31.0,WAS,NBA,53,37.0,1560.0,16.6,0.008,0.448,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24.0,102.0,103.0,0.8,2.4,3.2,0.098,-1.6,1.8,0.2,0.9,Brazil,Black,2003,2016,F-C,6-11,250,"September 13, 1982",,2013-2014,34,"Nene Hilario, C",Washington Wizards,13000000
george hill,2013-14,27.0,IND,NBA,76,76.0,2434.0,13.4,0.422,0.286,2.6,10.1,6.5,17.2,1.6,0.7,11.7,14.8,115.0,102.0,3.8,4.0,7.8,0.154,1.0,1.4,2.4,2.7,Indiana,White,2009,2016,G,6-3,188,"May 4, 1986",Indiana University-Purdue University Indianapolis,2013-2014,72,"George Hill, PG",Indiana Pacers,8000000
jordan hill,2013-14,26.0,LAL,NBA,72,32.0,1500.0,19.3,0.002,0.347,13.8,24.3,19.0,5.9,0.9,3.1,11.1,19.7,115.0,108.0,3.1,1.3,4.4,0.141,-0.5,-0.2,-0.7,0.5,Georgia,Black,2010,2016,C-F,6-10,235,"July 27, 1987",University of Arizona,2013-2014,160,"Jordan Hill, C",Los Angeles Lakers,3500000
solomon hill,2013-14,22.0,IND,NBA,28,0.0,226.0,7.6,0.575,0.175,4.7,15.2,10.2,7.9,1.1,0.7,23.2,11.3,97.0,101.0,0.0,0.4,0.4,0.08,-3.3,1.0,-2.3,0.0,California,Black,2014,2016,F,6-7,225,"March 18, 1991",University of Arizona,2013-2014,280,"Solomon Hill, SF",Indiana Pacers,1246680
kirk hinrich,2013-14,33.0,CHI,NBA,73,61.0,2116.0,10.8,0.391,0.202,1.7,8.5,5.2,22.6,2.0,1.0,15.1,17.3,100.0,102.0,0.4,3.3,3.8,0.085,-1.3,0.5,-0.8,0.6,Iowa,White,2004,2016,G,6-4,190,"January 2, 1981",University of Kansas,2013-2014,142,"Kirk Hinrich, SG",Chicago Bulls,4059000
jrue holiday,2013-14,23.0,NOP,NBA,34,34.0,1143.0,17.1,0.17,0.139,2.8,11.8,7.2,38.9,2.6,0.9,17.9,23.3,103.0,110.0,0.8,0.7,1.5,0.064,1.5,-0.8,0.7,0.8,California,Black,2010,2016,G,6-4,205,"June 12, 1990","University of California, Los Angeles",2013-2014,56,"Jrue Holiday, PG",New Orleans Pelicans,9713484
ryan hollins,2013-14,29.0,LAC,NBA,61,0.0,482.0,11.9,0.0,0.778,7.4,13.1,10.4,2.4,0.9,4.9,23.1,11.5,117.0,105.0,0.7,0.6,1.3,0.126,-2.0,1.7,-0.3,0.2,California,Black,2007,2016,C,7-0,240,"October 10, 1984","University of California, Los Angeles",2013-2014,314,"Ryan Hollins, C",Los Angeles Clippers,884293
scotty hopson,2013-14,24.0,CLE,NBA,2,0.0,7.0,-6.5,0.5,0.5,0.0,0.0,0.0,18.8,7.4,0.0,0.0,31.1,37.0,100.0,-0.1,0.0,-0.1,-0.412,-12.9,-4.3,-17.2,0.0,Kentucky,Black,2014,2014,G,6-7,204,"August 8, 1989",University of Tennessee,2013-2014,269,"Scotty Hopson, SG",Cleveland Cavaliers,1388400
al horford,2013-14,27.0,ATL,NBA,29,29.0,958.0,22.0,0.026,0.202,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,109.0,104.0,1.5,1.3,2.8,0.141,0.8,2.0,2.8,1.1,Dominican Repulic,Black,2008,2016,F-C,6-10,245,"June 3, 1986",University of Florida,2013-2014,41,"Al Horford, C",Atlanta Hawks,12000000
dwight howard,2013-14,28.0,HOU,NBA,71,71.0,2396.0,21.3,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4.0,17.5,24.0,109.0,101.0,4.0,4.1,8.0,0.161,-0.3,2.2,1.9,2.4,Georgia,Black,2005,2016,C-F,6-11,265,"December 8, 1985",,2013-2014,6,"Dwight Howard, C",Houston Rockets,20513178
robbie hummel,2013-14,24.0,MIN,NBA,53,5.0,655.0,9.6,0.503,0.09,5.7,16.6,11.0,5.0,1.2,0.2,5.2,12.6,110.0,108.0,0.6,0.6,1.1,0.084,-1.4,-0.7,-2.1,0.0,Indiana,White,2014,2015,F,6-8,215,"March 8, 1989",Purdue University,2013-2014,353,"Robbie Hummel, SF",Minnesota Timberwolves,490180
serge ibaka,2013-14,24.0,OKC,NBA,81,81.0,2666.0,19.6,0.061,0.203,10.0,19.6,15.0,5.2,0.7,6.7,10.3,19.8,115.0,102.0,5.2,4.4,9.6,0.173,-0.4,2.3,1.9,2.6,Republic of the Congo,Black,2010,2016,F,6-10,245,"September 18, 1989",,2013-2014,38,"Serge Ibaka, PF",Oklahoma City Thunder,12350000
andre iguodala,2013-14,30.0,GSW,NBA,63,63.0,2040.0,13.7,0.382,0.288,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,113.0,103.0,2.7,3.1,5.8,0.135,0.5,2.5,3.0,2.6,Illinois,Black,2005,2016,G-F,6-6,207,"January 28, 1984",University of Arizona,2013-2014,35,"Andre Iguodala, SF",Golden State Warriors,12868632
ersan ilyasova,2013-14,26.0,MIL,NBA,55,47.0,1478.0,13.8,0.226,0.225,8.0,18.8,13.3,8.4,1.6,0.4,8.7,21.3,103.0,111.0,0.9,0.8,1.6,0.053,-1.1,-2.1,-3.2,-0.5,Turkey,White,2007,2016,F,6-10,235,"May 15, 1987",,2013-2014,75,"Ersan Ilyasova, PF",Milwaukee Bucks,7900000
kyrie irving,2013-14,21.0,CLE,NBA,71,71.0,2496.0,20.1,0.278,0.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,109.0,108.0,4.6,2.1,6.7,0.128,4.1,-0.9,3.2,3.3,Australia,Black,2012,2016,G,6-3,193,"March 23, 1992",Duke University,2013-2014,107,"Kyrie Irving, PG",Cleveland Cavaliers,5607240
jarrett jack,2013-14,30.0,CLE,NBA,80,31.0,2252.0,11.5,0.265,0.213,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,102.0,110.0,0.9,1.4,2.3,0.049,-1.4,-0.9,-2.3,-0.2,Maryland,Black,2006,2016,G,6-3,200,"October 28, 1983",Georgia Institute of Technology,2013-2014,97,"Jarrett Jack, PG",Cleveland Cavaliers,6300000
reggie jackson,2013-14,23.0,OKC,NBA,80,36.0,2277.0,15.4,0.267,0.193,2.2,12.8,7.8,23.1,1.9,0.3,14.5,22.6,105.0,106.0,2.3,2.6,4.9,0.104,0.1,-0.5,-0.4,0.9,Italy,Black,2012,2016,G,6-3,208,"April 16, 1990",Boston College,2013-2014,278,"Reggie Jackson, PG",Oklahoma City Thunder,1260360
damion james,2013-14,26.0,SAS,NBA,5,1.0,50.0,4.1,0.222,0.222,2.4,23.8,13.5,7.5,0.0,1.4,9.2,9.8,79.0,104.0,-0.1,0.1,0.0,0.01,-6.7,1.2,-5.5,0.0,New Mexico,Black,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin,2013-2014,377,"Damion James, SF",San Antonio Spurs,68902
lebron james,2013-14,29.0,MIA,NBA,77,77.0,2902.0,29.3,0.226,0.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,121.0,105.0,12.3,3.7,15.9,0.264,8.0,0.9,8.9,8.0,Ohio,Black,2004,2016,F-G,6-8,250,"December 30, 1984",,2013-2014,9,"LeBron James, SF",Miami Heat,19067500
mike james,2013-14,38.0,CHI,NBA,11,0.0,77.0,1.5,0.238,0.095,0.0,10.2,5.2,34.1,1.4,0.0,18.6,16.1,70.0,104.0,-0.2,0.1,-0.1,-0.073,-8.6,-2.1,-10.6,-0.2,New York,Black,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University,2013-2014,378,"Mike James, PG",Chicago Bulls,57627
othyus jeffers,2013-14,28.0,TOT,NBA,6,1.0,47.0,6.9,0.333,0.667,2.5,18.7,10.7,2.8,0.0,0.0,11.4,8.3,113.0,107.0,0.0,0.0,0.1,0.082,-3.7,-1.5,-5.2,0.0,Illinois,Black,2010,2014,G,6-5,200,"August 5, 1985",Robert Morris University (IL),2013-2014,381,"Othyus Jeffers, SG",San Antonio Spurs,52017
al jefferson,2013-14,29.0,CHA,NBA,73,73.0,2553.0,22.7,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,105.0,100.0,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5,Mississippi,Black,2005,2016,C-F,6-10,289,"January 4, 1985",,2013-2014,32,"Al Jefferson, C",Charlotte Bobcats,13500000
richard jefferson,2013-14,33.0,UTA,NBA,82,78.0,2213.0,11.8,0.46,0.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,109.0,114.0,2.3,0.4,2.7,0.058,0.3,-1.7,-1.4,0.3,California,Black,2002,2016,F,6-7,233,"June 21, 1980",University of Arizona,2013-2014,47,"Richard Jefferson, SF",Utah Jazz,11046000
john jenkins,2013-14,22.0,ATL,NBA,13,0.0,158.0,4.7,0.429,0.095,2.2,13.8,8.1,10.4,0.3,0.5,20.1,15.8,83.0,111.0,-0.2,0.1,-0.1,-0.043,-5.7,-1.8,-7.5,-0.2,Tennessee,White,2013,2016,G,6-4,215,"March 6, 1991",Vanderbilt University,2013-2014,279,"John Jenkins, SG",Atlanta Hawks,1258800
brandon jennings,2013-14,24.0,DET,NBA,80,79.0,2728.0,15.6,0.403,0.283,2.2,7.8,4.9,34.4,1.9,0.2,14.4,23.4,106.0,113.0,3.0,0.9,3.9,0.068,2.1,-2.6,-0.5,1.0,California,Black,2010,2016,G,6-1,169,"September 23, 1989",,2013-2014,78,"Brandon Jennings, PG",Detroit Pistons,7655503
jonas jerebko,2013-14,26.0,DET,NBA,64,0.0,741.0,13.4,0.356,0.284,7.2,19.3,12.9,7.8,1.4,0.6,15.5,16.0,111.0,110.0,1.0,0.5,1.4,0.092,-0.7,-1.4,-2.1,0.0,Sweden,White,2010,2016,F,6-10,231,"March 2, 1987",,2013-2014,131,"Jonas Jerebko, PF",Detroit Pistons,4500000
amir johnson,2013-14,26.0,TOR,NBA,77,72.0,2214.0,15.4,0.108,0.234,9.0,17.6,13.3,8.7,1.3,3.2,15.4,16.4,112.0,104.0,3.2,3.1,6.3,0.136,0.2,2.4,2.6,2.6,California ,Black,2006,2016,F,6-9,240,"May 1, 1987",,2013-2014,93,"Amir Johnson, PF",Toronto Raptors,6500000
chris johnson,2013-14,23.0,BOS,NBA,40,0.0,789.0,10.8,0.593,0.201,4.3,9.8,7.0,6.0,1.8,0.4,8.6,14.3,111.0,109.0,0.9,0.5,1.4,0.085,0.1,-0.9,-0.8,0.2,Florida,Black,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton,2013-2014,361,"Chris Johnson, SF",Boston Celtics,320189
james johnson,2013-14,26.0,MEM,NBA,52,4.0,956.0,18.5,0.282,0.292,7.4,13.2,10.3,18.2,2.3,5.0,16.0,20.0,110.0,101.0,1.4,1.6,3.0,0.15,1.3,3.2,4.5,1.6,Wyoming ,Black,2010,2016,F,6-9,250,"February 20, 1987",Wake Forest University,2013-2014,338,"James Johnson, PF",Memphis Grizzlies,634610
joe johnson,2013-14,32.0,BRK,NBA,79,79.0,2575.0,15.5,0.397,0.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,110.0,112.0,3.9,1.0,4.9,0.091,2.0,-2.2,-0.1,1.2,Arkansas,Black,2002,2016,G-F,6-7,240,"June 29, 1981",University of Arkansas,2013-2014,4,"Joe Johnson, SF",Brooklyn Nets,21466718
james jones,2013-14,33.0,MIA,NBA,20,6.0,236.0,15.4,0.794,0.162,1.1,10.8,6.1,5.8,0.7,1.5,5.2,15.6,127.0,110.0,0.6,0.1,0.7,0.147,2.9,-2.8,0.0,0.1,Florida ,Black,2004,2016,F-G,6-8,218,"October 4, 1980",University of Miami,2013-2014,258,"James Jones, SG",Miami Heat,1500000
perry jones,2013-14,22.0,OKC,NBA,62,7.0,764.0,10.1,0.337,0.232,4.3,12.1,8.4,4.9,0.9,2.0,9.5,12.8,110.0,107.0,0.7,0.8,1.5,0.094,-2.0,-0.5,-2.5,-0.1,Louisiana,Black,2013,2015,F,6-11,235,"September 24, 1991",Baylor University,2013-2014,295,"Perry Jones, SF",Oklahoma City Thunder,1082520
terrence jones,2013-14,22.0,HOU,NBA,76,71.0,2078.0,19.1,0.142,0.274,9.2,18.5,14.1,7.0,1.3,3.5,8.2,18.3,119.0,105.0,4.6,2.7,7.3,0.169,0.9,1.3,2.2,2.2,Oregon,Black,2013,2016,F,6-9,252,"January 9, 1992",University of Kentucky,2013-2014,252,"Terrence Jones, PF",Houston Rockets,1551840
deandre jordan,2013-14,25.0,LAC,NBA,82,82.0,2870.0,18.2,0.0,0.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,121.0,98.0,5.3,5.8,11.1,0.186,-0.1,4.2,4.1,4.4,Texas ,Black,2009,2016,C,6-11,265,"July 21, 1988",Texas A&M University,2013-2014,48,"DeAndre Jordan, C",Los Angeles Clippers,10986550
cory joseph,2013-14,22.0,SAS,NBA,68,19.0,936.0,14.7,0.143,0.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,115.0,104.0,1.6,1.3,2.9,0.148,0.0,0.6,0.6,0.6,Canada,Black and White,2012,2016,G,6-3,190,"August 20, 1991",University of Texas at Austin,2013-2014,291,"Cory Joseph, PG",San Antonio Spurs,1120920
chris kaman,2013-14,31.0,LAL,NBA,39,13.0,736.0,17.0,0.009,0.197,7.8,25.4,16.6,14.1,0.7,3.9,16.4,26.7,97.0,107.0,-0.2,0.7,0.5,0.036,-3.1,0.7,-2.4,-0.1,Michigan,White,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University,2013-2014,178,"Chris Kaman, C",Los Angeles Lakers,3183000
enes kanter,2013-14,21.0,UTA,NBA,80,37.0,2138.0,15.6,0.001,0.239,11.6,20.9,16.1,6.4,0.7,1.5,13.3,23.3,102.0,112.0,1.3,0.9,2.2,0.05,-2.1,-1.8,-3.9,-1.0,Switzerland,White,2012,2016,C,6-11,245,"May 20, 1992",,2013-2014,130,"Enes Kanter, C",Utah Jazz,4505280
sergey karasev,2013-14,20.0,CLE,NBA,22,1.0,156.0,2.3,0.543,0.286,0.0,11.8,5.8,5.6,1.0,0.5,21.8,14.4,81.0,110.0,-0.2,0.1,-0.1,-0.041,-5.9,-1.6,-7.5,-0.2,Russian Federation,White,2014,2016,G-F,6-7,208,"October 26, 1993",,2013-2014,261,"Sergey Karasev, SG",Cleveland Cavaliers,1467840
michael kidd-gilchrist,2013-14,20.0,CHA,NBA,62,62.0,1502.0,12.0,0.025,0.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,104.0,103.0,0.9,2.2,3.1,0.098,-2.7,1.7,-0.9,0.4,Pennsylvania,Black,2013,2016,F,6-7,232,"September 26, 1993",University of Kentucky,2013-2014,124,"Michael Kidd-Gilchrist, SF",Charlotte Bobcats,4809840
andrei kirilenko,2013-14,32.0,BRK,NBA,45,4.0,857.0,12.4,0.031,0.744,7.7,12.7,10.2,13.1,2.4,1.9,20.3,14.6,103.0,107.0,0.4,0.9,1.3,0.07,-1.9,1.8,-0.1,0.4,Russia,White,2002,2015,F,6-9,220,"February 18, 1981",,2013-2014,177,"Andrei Kirilenko, SF",Brooklyn Nets,3183000
brandon knight,2013-14,22.0,MIL,NBA,72,69.0,2400.0,16.5,0.31,0.296,2.1,10.3,6.1,26.6,1.5,0.6,13.2,26.8,104.0,114.0,2.4,0.4,2.8,0.055,2.0,-2.9,-0.9,0.7,Florida,Black,2012,2016,G,6-3,189,"December 2, 1991",University of Kentucky,2013-2014,195,"Brandon Knight, PG",Milwaukee Bucks,2793960
kyle korver,2013-14,32.0,ATL,NBA,71,71.0,2408.0,13.5,0.644,0.154,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,118.0,108.0,3.9,2.0,5.9,0.118,2.0,0.2,2.2,2.5,California,White,2004,2016,G-F,6-7,212,"March 17, 1981",Creighton University,2013-2014,89,"Kyle Korver, SG",Atlanta Hawks,6760563
kosta koufos,2013-14,24.0,MEM,NBA,80,22.0,1349.0,16.5,0.0,0.203,14.0,22.7,18.4,4.7,1.3,4.4,11.8,19.4,106.0,101.0,1.3,2.2,3.5,0.124,-2.1,1.2,-0.9,0.4,Ohio,White,2009,2016,C,7-0,265,"February 24, 1989",Ohio State University,2013-2014,190,"Kosta Koufos, C",Memphis Grizzlies,3000000
